submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours
4.71E+15,13-03-2021,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Some university or college,"I work full-time, either as an employee or self-employed",Distrito Federal,,0,No,There are enough
5.16E+15,13-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,0,No,Irregularly
4.60E+15,13-03-2021,Female,36 to 45 years old,Rural,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
4.99E+15,22-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,1,No,Irregularly
4.63E+15,16-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
5.86E+15,13-03-2021,Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,None of the above,Distrito Federal,,1,No,There are enough
6.33E+15,28-03-2021,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,0,No,There are enough
6.25E+15,14-03-2021,Female,Over 45 years old,Rural,"I can afford food, but nothing else",Some primary education,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,0,No,There are enough
6.00E+15,13-03-2021,Female,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,Technical school diploma or degree completed,I am a student and I work part-time,Distrito Federal,,1,No,Irregularly
6.19E+15,13-03-2021,Female,16 to 25 years old,Rural,"I can afford food, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,0,2 days,There are enough
4.79E+15,13-03-2021,Male,16 to 25 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
5.97E+15,03-04-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,Every day,There are not enough
5.17E+15,19-03-2021,Male,26 to 35 years old,Rural,I cannot afford enough food for my family,University or college degree completed,I am a student and I work part-time,Distrito Federal,,0,1 day,Irregularly
5.33E+15,24-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,1,No,There are enough
5.17E+15,29-03-2021,Male,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,,1,No,Irregularly
5.25E+15,14-03-2021,Male,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
6.25E+15,15-03-2021,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,,1,No,There are not enough
5.18E+15,14-03-2021,Male,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Distrito Federal,,1,No,Irregularly
5.42E+15,15-03-2021,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),I am a student,Distrito Federal,,1,4 days,Irregularly
6.28E+15,17-03-2021,Male,16 to 25 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, and I have savings",Some secondary school / high school,I am a student,Distrito Federal,,1,2 days,There are not enough
4.69E+15,19-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Distrito Federal,,1,2 days,Irregularly
5.00E+15,01-04-2021,Male,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,None of the above,Distrito Federal,,0,No,There are not enough
4.71E+15,14-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,0,No,There are enough
5.75E+15,21-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,Prefer not to answer,University or college degree completed,I am unemployed,Distrito Federal,,0,No,Irregularly
6.00E+15,18-03-2021,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,0,No,Irregularly
4.97E+15,13-03-2021,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Primary school completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,1,No,Irregularly
5.52E+15,29-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Some secondary school / high school,I am retired,Distrito Federal,,1,No,There are not enough
6.59E+15,13-03-2021,Male,26 to 35 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Distrito Federal,,1,No,There are enough
4.84E+15,13-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,4 days,Irregularly
5.31E+15,23-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,1,No,Irregularly
6.15E+15,23-03-2021,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Some university or college,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
4.99E+15,14-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Some secondary school / high school,I am unemployed,Distrito Federal,,0,No,There are not enough
5.66E+15,28-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
4.91E+15,14-03-2021,Male,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some secondary school / high school,"I work part-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
4.67E+15,15-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),"I do housework, fulfilling domestic tasks, looking after children",Distrito Federal,,1,No,Irregularly
5.45E+15,30-03-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Some university or college,I am a student,Distrito Federal,,1,No,Irregularly
6.53E+15,13-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,Prefer not to answer,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
4.90E+15,13-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Distrito Federal,,1,No,There are enough
4.63E+15,13-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,I am unemployed,Distrito Federal,,0,No,Irregularly
6.40E+15,13-03-2021,Male,26 to 35 years old,Rural,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,0,No,Irregularly
5.40E+15,26-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Distrito Federal,,0,No,Irregularly
5.21E+15,13-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Distrito Federal,,1,No,There are enough
6.51E+15,20-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,Irregularly
4.66E+15,13-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Distrito Federal,,1,No,There are enough
6.31E+15,18-03-2021,Female,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,0,No,There are not enough
6.24E+15,13-03-2021,Female,26 to 35 years old,City center or metropolitan area,Prefer not to answer,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Distrito Federal,,1,No,There are enough
6.52E+15,15-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Bolívar,,1,2 days,Irregularly
4.86E+15,14-03-2021,Male,26 to 35 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Bolívar,,1,No,Irregularly
4.98E+15,24-03-2021,Female,26 to 35 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Bolívar,,0,No,Irregularly
6.63E+15,26-03-2021,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Bolívar,,1,No,There are enough
5.15E+15,20-03-2021,Male,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some secondary school / high school,I am a student,Bolívar,,0,3 days,Irregularly
4.53E+15,13-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Bolívar,,1,No,There are enough
4.92E+15,13-03-2021,Male,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Bolívar,,1,No,There are enough
5.83E+15,13-03-2021,Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Secondary school/ high school completed,I am retired,Bolívar,,1,No,Irregularly
6.20E+15,20-03-2021,Male,16 to 25 years old,Rural,"I can afford food, but nothing else",Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",Bolívar,,1,Every day,There are enough
5.57E+15,21-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",Some technical education (e.g polytechnic school),I am a student and I work part-time,Bolívar,,0,No,There are enough
4.86E+15,25-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food, but nothing else",Some university or college,I am unemployed,Bolívar,,0,No,Irregularly
6.23E+15,20-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,"I work full-time, either as an employee or self-employed",Bolívar,,1,No,Irregularly
4.52E+15,13-03-2021,Male,26 to 35 years old,Rural,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Bolívar,,0,No,Irregularly
5.56E+15,13-03-2021,Female,36 to 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Bolívar,,1,No,There are enough
5.67E+15,13-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Bolívar,,1,No,Irregularly
5.52E+15,13-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Bolívar,,0,No,There are not enough
5.36E+15,13-03-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am unemployed,Lara,,1,No,Irregularly
5.03E+15,13-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Post-graduate education,"I work full-time, either as an employee or self-employed",Lara,,1,No,Irregularly
6.22E+15,13-03-2021,Female,26 to 35 years old,Rural,"I can afford food, regular expenses, and clothes, but nothing else",Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",Lara,,0,No,Irregularly
6.59E+15,30-03-2021,Male,16 to 25 years old,Rural,"I can afford food, but nothing else",Prefer not to answer,I am a student,Lara,,0,1 day,There are enough
5.86E+15,13-03-2021,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,None of the above,Lara,,1,No,Irregularly
6.75E+15,29-03-2021,Male,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Lara,,1,No,There are not enough
5.26E+15,14-03-2021,Male,Over 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Post-graduate education,"I work part-time, either as an employee or self-employed",Lara,,0,No,There are enough
4.83E+15,13-03-2021,Male,16 to 25 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student,Lara,,0,No,Irregularly
6.00E+15,28-03-2021,Male,36 to 45 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am unemployed,Lara,,0,No,There are not enough
6.26E+15,24-03-2021,Female,36 to 45 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Some university or college,I am unemployed,Lara,,1,No,Irregularly
6.26E+15,13-03-2021,Male,Over 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Lara,,1,Every day,Irregularly
6.61E+15,15-03-2021,Male,16 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",Primary school completed,I am a student,Lara,,0,No,Irregularly
5.03E+15,28-03-2021,Male,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Lara,,0,No,There are enough
6.56E+15,13-03-2021,Female,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",Lara,,1,No,There are not enough
6.61E+15,15-03-2021,Male,16 to 25 years old,Rural,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Lara,,1,2 days,There are not enough
5.18E+15,15-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Lara,,1,No,Irregularly
6.12E+15,14-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Lara,,1,No,Irregularly
4.70E+15,13-03-2021,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am unemployed,Lara,,1,No,Irregularly
5.04E+15,30-03-2021,Male,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Miranda,,1,Every day,Irregularly
5.29E+15,18-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,No,There are enough
5.97E+15,13-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Some university or college,"I do housework, fulfilling domestic tasks, looking after children",Miranda,,0,No,There are enough
4.72E+15,14-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,No,There are enough
4.74E+15,20-03-2021,Male,26 to 35 years old,Rural,"I can afford food and regular expenses, but nothing else",Some university or college,I am doing community or military service,Miranda,,1,No,There are enough
5.31E+15,13-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Miranda,,1,No,There are not enough
5.11E+15,01-04-2021,Male,16 to 25 years old,Rural,"I can afford food, but nothing else",Some university or college,I am a student and I work part-time,Miranda,,1,No,Irregularly
5.04E+15,25-03-2021,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",Technical school diploma or degree completed,I am unemployed,Miranda,,0,No,There are not enough
5.02E+15,31-03-2021,Male,16 to 25 years old,City center or metropolitan area,Prefer not to answer,Some technical education (e.g polytechnic school),I am a student,Miranda,,1,No,There are enough
5.25E+15,31-03-2021,Male,Over 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Post-graduate education,"I work full-time, either as an employee or self-employed",Miranda,,0,No,There are enough
4.83E+15,13-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Post-graduate education,"I work full-time, either as an employee or self-employed",Miranda,,1,No,There are not enough
4.71E+15,13-03-2021,Female,16 to 25 years old,City center or metropolitan area,"I can afford food, but nothing else",Secondary school/ high school completed,"I work full-time, either as an employee or self-employed",Miranda,,1,No,Irregularly
6.10E+15,02-04-2021,Male,26 to 35 years old,Suburban/Peri-urban,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,1 day,There are enough
6.53E+15,18-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, and I have savings",Some university or college,None of the above,Miranda,,1,No,Irregularly
5.68E+15,02-04-2021,Female,16 to 25 years old,City center or metropolitan area,I cannot afford enough food for my family,Secondary school/ high school completed,I am a student,Miranda,,0,No,There are enough
5.76E+15,13-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,None of the above,Miranda,,1,No,There are not enough
5.48E+15,24-03-2021,Male,26 to 35 years old,Rural,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Secondary school/ high school completed,"I work part-time, either as an employee or self-employed",Trujillo,,1,No,There are not enough
5.50E+15,26-03-2021,Female,16 to 25 years old,Rural,Prefer not to answer,Secondary school/ high school completed,I am unemployed,Táchira,,0,No,Irregularly
6.68E+15,15-03-2021,Female,16 to 25 years old,Rural,"I can afford food and regular expenses, but nothing else",Some technical education (e.g polytechnic school),I am a student and I work part-time,Mérida,,1,No,There are not enough
6.24E+15,13-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,I am unemployed,Miranda,,0,No,Irregularly
5.19E+15,22-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,2 days,Irregularly
5.28E+15,25-03-2021,Male,26 to 35 years old,City center or metropolitan area,I cannot afford enough food for my family,University or college degree completed,I am a student and I work part-time,Miranda,,1,No,There are not enough
6.15E+15,15-03-2021,Female,36 to 45 years old,Rural,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Miranda,,0,Every day,There are enough
6.08E+15,21-03-2021,Female,Over 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",Secondary school/ high school completed,I am unemployed,Miranda,,0,1 day,There are enough
4.51E+15,14-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,No,There are enough
5.02E+15,14-03-2021,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, regular expenses, and clothes, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Miranda,,1,No,There are not enough
6.30E+15,13-03-2021,Female,36 to 45 years old,City center or metropolitan area,Prefer not to answer,University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,0,No,There are enough
5.01E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work part-time, either as an employee or self-employed",Miranda,,1,No,There are enough
6.00E+15,01-04-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",Technical school diploma or degree completed,"I do housework, fulfilling domestic tasks, looking after children",Miranda,,0,No,There are enough
5.16E+15,13-03-2021,Male,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,0,No,Irregularly
5.51E+15,13-03-2021,Male,Over 45 years old,City center or metropolitan area,"I can afford food, but nothing else",University or college degree completed,"I work full-time, either as an employee or self-employed",Miranda,,1,No,There are enough
5.36E+15,29-03-2021,Female,16 to 25 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Anzoátegui,,1,Every day,Irregularly
4.93E+15,02-04-2021,Male,16 to 25 years old,City center or metropolitan area,"I can comfortably afford food, clothes, and furniture, but I don’t have savings",Some secondary school / high school,I am a student,Anzoátegui,,1,No,There are enough
4.90E+15,13-03-2021,Male,16 to 25 years old,Suburban/Peri-urban,I cannot afford enough food for my family,Some university or college,I am a student,Anzoátegui,,0,No,Irregularly
6.51E+15,14-03-2021,Male,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",Anzoátegui,,0,No,Irregularly
6.76E+15,28-03-2021,Male,16 to 25 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am a student and I work part-time,Lara,,1,No,Irregularly
4.79E+15,13-03-2021,Female,36 to 45 years old,Rural,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Lara,,1,No,Irregularly
6.64E+15,28-03-2021,Female,16 to 25 years old,Rural,I cannot afford enough food for my family,Some primary education,I am unemployed,Lara,,1,1 day,Irregularly
5.75E+15,14-03-2021,Female,26 to 35 years old,Rural,"I can afford food, but nothing else",Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",Lara,,0,No,There are enough
6.11E+15,16-03-2021,Male,26 to 35 years old,Suburban/Peri-urban,"I can comfortably afford food, clothes, and furniture, and I have savings",University or college degree completed,I am unemployed,Trujillo,,1,No,There are enough
5.67E+15,27-03-2021,Female,Over 45 years old,Suburban/Peri-urban,I cannot afford enough food for my family,University or college degree completed,"I work part-time, either as an employee or self-employed",Vargas,,1,No,There are not enough
5.44E+15,13-03-2021,Female,36 to 45 years old,City center or metropolitan area,"I can afford food and regular expenses, but nothing else",University or college degree completed,"I do housework, fulfilling domestic tasks, looking after children",Vargas,,1,No,Irregularly
6.18E+15,16-03-2021,Female,16 to 25 years old,Suburban/Peri-urban,"I can afford food, but nothing else",Secondary school/ high school completed,I am unemployed,Mérida,,1,No,There are not enough
6.66E+15,14-03-2021,Female,26 to 35 years old,City center or metropolitan area,"I can afford food, but nothing else",Some university or college,I am a student and I work part-time,Mérida,,1,No,Irregularly
